idarticuloxsucursal,idarticulo,idsucursal,idusuario,idusuario_update,stocksucursal,stockminimo,stockmaximo,pc,pc,precio_venta_oferta,precio_ventaNocturno,descuento_porcentaje,precio_descuento,precio_rango1,precio_rango1_Dos,precio_rango2,precio_rango2_Dos,precio_rango3,precio_rango3_Dos,nombre_01,stock_unidad,pc,nombre_02,stock_blister,precio_blister,nombre_03,stock_caja,precio_caja,nombre_04,stock_fardo,precio_fardo,nombre_05,stock_sacos,precio_sacos,nombre_06,stock_paquete,precio_paquete,nombre_07,stock_07,precio_07,nombre_08,stock_08,precio_08,nombre_09,stock_09,precio_09,nombre_10,stock_10,precio_10,nombre_11,stock_11,precio_11,nombre_12,stock_12,precio_12,nombre_13,stock_13,precio_13,nombre_14,stock_14,precio_14,nombre_15,stock_15,precio_15,nombre_16,stock_16,precio_16,nombre_17,stock_17,precio_17,nombre_18,stock_18,precio_18,nombre_19,stock_19,precio_19,nombre_20,stock_20,precio_20,ganacia_articulo,condicion,fecha_creacion,fecha_creacion,tipo_ganacia,precio_activado,producto_iva_exento,producto_consignacion,aplica_impuestos,precio_rango1_Mecanico,precio_rango2_MecanicoDos,precio_rango3_MecanicoTres,precio_rango1_Distribuidor,precio_rango2_DistribuidorDos,precio_rango3_DistribuidorTres,precio_rango1_Mayorista,precio_rango2_MayoristaDos,precio_rango3_MayoristaTres,codigo_sku,precio_activo_si_no,descripcion_2,pocentaje_ganacia
2,2,4,34,0,0,10,0,145,145,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,145,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
3,3,4,34,0,0,10,0,50,50,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,50,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
4,4,4,34,0,0,10,0,270,270,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,270,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
5,5,4,34,0,0,10,0,100,100,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,100,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
6,6,4,34,0,0,10,0,285.5,285.5,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,285.5,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
7,7,4,34,0,0,10,0,224.5,224.5,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,224.5,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
8,8,4,34,0,0,10,0,265,265,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,265,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
9,9,4,34,0,0,10,0,301.25,301.25,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,301.25,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
10,10,4,34,0,0,10,0,300.5,300.5,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,300.5,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
11,11,4,34,0,0,10,0,242,242,0,0,0,0,0,0,0,0,0,0,UNIDAD,1,242,2PACK,0,0,caja,0,0,TONEL,0,0,BLOQUE,0,0,OFERTA DE 3,0,0,Botella,0,0,MANGAS,0,0,CIENTO,0,0,DOCENA,0,0,Blister de 10 pastillas,0,0,KILO,0,0,MEDIA DOCENA,0,0,LIBRA,0,0,MEDIO KITAL,0,0,ROLLO,0,0,CARTON,0,0,paquete,0,0,ARROBA,0,0,CUBETAZO DE 6 CERVEZAS,0,0,0,1,2026/07/28 13:01,2026/07/28 13:01,0,NO,NO,SI,SI,0,0,0,0,0,0,0,0,0,0,0,.,0
