idarticulo,categoria,idsubcategoria,idmarca,idlinea,idempresa,codigo,Nombre Sat,ano_de,ano_a,stock,stockminimo,Descripcion,imagen,condicion,pc,precio_venta_oferta,descuento_porcentaje,precio_descuento,pocerntaje_precio_mayorista,precio_mayorista,pocerntaje_precio_minorista,precio_minorista,pocerntaje_precio_menudeo,precio_menudeo,peso_producto,tipo_producto,idusuario,idsucursal,pc,aplica_comision,fecha_creacion,fecha_modificacion,idusuario_update,facturar_cero,descripcion_2,tipo_descuento,crearArticuloSucursal,meta_titulo,meta_descripcion,meta_keywords,descripcion_articulo,tipo_promocion
2,1,1,0,0,0,AF,AFRECHO,,0,0,0,AFRECHO ,0,1,145,0,0,0,0,0,0,0,0,0,0,Productos,34,0,145,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
3,1,1,0,0,0,HA,HARINA DE ALMENDRA,,0,0,0,H ALMENDRA,0,1,50,0,0,0,0,0,0,0,0,0,0,Productos,34,0,50,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
4,1,1,0,0,0,HAL,H Alpan,,0,0,0,HAL,0,1,270,0,0,0,0,0,0,0,0,0,0,Productos,34,0,270,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
5,1,1,0,0,0,HAZ,H DE ARROZ,,0,0,0,H ARROZ,0,1,100,0,0,0,0,0,0,0,0,0,0,Productos,34,0,100,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
6,1,1,0,0,0,HB,H BATIDOS,,0,0,0,HB,0,1,285.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,285.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
7,1,1,0,0,0,HBR,H BOLA ROJA,,0,0,0,HBR,0,1,224.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,224.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
8,1,1,0,0,0,HC,H COUNTRY,,0,0,0,HC,0,1,265,0,0,0,0,0,0,0,0,0,0,Productos,34,0,265,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
9,1,1,0,0,0,HD,H DAMA,,0,0,0,HD DURA,0,1,301.25,0,0,0,0,0,0,0,0,0,0,Productos,34,0,301.25,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
10,1,1,0,0,0,HDR,H Dama R,,0,0,0,H D R,0,1,300.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,300.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
11,1,1,0,0,0,HEP,H EL PANADERO,,0,0,0,H E P,0,1,242,0,0,0,0,0,0,0,0,0,0,Productos,34,0,242,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
12,1,1,0,0,0,HF,H Fortaleza,,0,0,0,H Fortaleza,0,1,321.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,321.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
13,1,1,0,0,0,HFA,H Faisan,,0,0,0,H FA,0,1,216,0,0,0,0,0,0,0,0,0,0,Productos,34,0,216,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
14,1,1,0,0,0,HG,H GOLONDRINA,,0,0,0,HG,0,1,333.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,333.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
15,1,1,0,0,0,HGA,H Gallo,,0,0,0,HGA,0,1,310,0,0,0,0,0,0,0,0,0,0,Productos,34,0,310,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
16,1,1,0,0,0,HH,H HOJALDRE,,0,0,0,HH,0,1,391.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,391.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
17,1,1,0,0,0,HHM,H HARIMASA,,0,0,0,HHM,0,1,283.93,0,0,0,0,0,0,0,0,0,0,Productos,34,0,283.93,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
18,1,1,0,0,0,HHMS,H HARIMASA SUAVE,,0,0,0,HHMS,0,1,263.39,0,0,0,0,0,0,0,0,0,0,Productos,34,0,263.39,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
19,1,1,0,0,0,HI,H integral,,0,0,0,HI,0,1,86.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,86.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
20,1,1,0,0,0,HIM,H INTEGRAL MOLSA,,0,0,0,HIM,0,1,321.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,321.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
21,1,1,0,0,0,HOV,H Oro v.,,0,0,0,H ORO VERDE,0,1,212,0,0,0,0,0,0,0,0,0,0,Productos,34,0,212,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
22,1,1,0,0,0,HP,H PANADERA,,0,0,0,HP,0,1,292,0,0,0,0,0,0,0,0,0,0,Productos,34,0,292,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
23,1,1,0,0,0,HSALPOR,H. DE SALPOR,,0,0,0,H. DE SALPOR,0,1,100,0,0,0,0,0,0,0,0,0,0,Productos,34,0,100,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
24,1,1,0,0,0,HS,H SOL DURA,,0,0,0,HS DURA,0,1,327,0,0,0,0,0,0,0,0,0,0,Productos,34,0,327,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
25,1,1,0,0,0,HSS,H Sol s,,0,0,0,HS SUAVE,0,1,303,0,0,0,0,0,0,0,0,0,0,Productos,34,0,303,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
26,1,1,0,0,0,HTH,H THESEUS,,0,0,0,HTH,0,1,233,0,0,0,0,0,0,0,0,0,0,Productos,34,0,233,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
27,1,1,0,0,0,HTS,H Trigueña S,,0,0,0,HT SUAVE,0,1,276.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,276.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
28,1,1,0,0,0,HTV,H TRIGUEÑA VERDE,,0,0,0,HTV,0,1,276.5,0,0,0,0,0,0,0,0,0,0,Productos,34,0,276.5,SI,0,0,0,SI,0,0,Una,0,0,0,0,NO
